Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p00443062nap	254	236	264	64	6
p0053870a9th	56	32	82	79	11
p0053337qekl	59	51	70	47	6
p00499282zqr	4	2	4	62	9
p0006342unez	22	18	25	33	6
p0088675hzwk	107	80	109	59	9
p0005610jrb6	1	1	1	50	4
p0015409lpne	252	200	272	29	5
p0088639ayzl	3	3	3	75	9
p0066841hcfu	229	210	281	138	30
p0003505hawd	15	12	15	43	8
p0013229uklm	0	0	1	36	4
p0098042k5iv	32	28	56	82	15
p0043796gm4y	65	44	70	98	15
p0083066fe9e	6	5	6	67	11
p00144947bma	16	10	21	45	6
p00967224htm	118	100	175	35	4
p00877193l6j	44	29	48	39	14
p0014018by9h	172	140	185	47	6
p000000224fo	36	32	55	40	8
p0051690dljt	16	13	18	39	5
p0088401merx	34	15	39	102	38
p0040985gpwg	85	81	87	52	7
p0099795u76k	10	3	13	99	22
p00929445d4u	9	3	9	47	10
p00895446etr	61	30	65	67	10
p0088657jhye	35	21	38	56	8
p0065065wvfd	14	5	14	73	19
p0008075c7wt	48	39	65	23	4
p0007395mn83	30	27	31	100	8
p0081534bki5	56	46	58	62	8
p0006167swln	14	10	16	72	4
p0074146akcf	311	246	329	49	6
p0030976zek2	6	6	6	45	7
p0073759gnv3	182	157	194	37	6
p0096446ehdt	6	6	7	30	5
p00915662hg9	114	72	146	45	10
p0041912fxqf	1050	947	1124	67	4
p0033252oua4	98	92	101	45	6
p0010411qvnc	3	2	6	42	4
p0004880b9jo	1	1	1	20	7
p00007795smx	30	21	31	35	6
p002772056zx	23	23	27	99	16
p0001703h4ui	23	9	24	50	11
p0099358wd42	59	43	82	75	10
p0022240jcns	517	319	569	61	9
p0097984b9bd	69	36	84	44	8
p0046510nkyj	12	6	12	60	10
p0090347yg3z	82	66	123	147	10
p0057953bzv2	23	17	24	64	5
p0071976obki	1285	1014	1344	60	11
p00002182f4h	43	27	51	42	7
p0096025ydqn	156	115	167	56	9
p0079434mdig	1859	1443	1987	32	5
p0006114azco	1	1	1	55	11
p0004412ox9t	0	0	2	66	10
p0091429lmqo	7	3	11	84	14
p0077177okfc	71	25	80	149	12
p00861406as7	0	0	2	71	5
p00612219pjg	43	28	45	33	7
p00673202ped	139	88	149	170	16
p0021356ujup	138	104	164	71	10
p0099924uf8e	14	12	14	28	6
p0087430kgkc	946	622	1302	78	8
p0007110lgxc	88	81	100	85	14
p0050449cyod	33	19	35	71	9
p0003070o4fb	33	19	36	58	9
p0049327ehdq	11	10	11	60	9
p0093901kdvm	19	28	64	43	5
p009854897hf	10	9	11	65	7
p0050065fvfc	180	171	256	53	3
p0089354xwjd	403	297	408	52	9
p0003973fkfm	3	3	3	56	10
p0004939w3sl	48	33	49	56	9
p0092831cqtu	10	6	10	49	10
p0091584ktap	12	12	16	145	21
p0086473yacx	0	0	1	72	11
p0090342dy8m	465	356	532	74	7
p0092856zb5i	12	9	12	26	4
p0099212p7ow	4	4	6	107	5
p0091633cfsa	9	7	12	57	8
p0010407dql5	31	15	33	57	7
p00083603lr6	154	134	166	70	12
p0026516czwe	24	24	24	59	7
p00815355pug	7	7	7	71	6
p0044458svka	326	233	357	45	8
p0002381usvx	15	9	29	47	6
p0070082ul93	554	346	598	63	11
p0036528eizv	108	62	253	229	15
p0039034wobg	9	8	9	66	9
p0062467576d	26	22	29	46	6
p0000305zlbk	3	2	6	54	9
p0095370jzqe	24	9	25	52	8
p0011133mhbh	13	10	14	43	10
p00941266cjv	31	24	49	66	8
p0002139stao	323	253	354	43	7
p0010246vw6j	8	3	14	43	9
p0009110m7gb	37	20	44	64	12
p0003588tkwb	2	1	2	51	8
p0065257tuha	298	120	323	102	31
p0072264jqvw	161	132	206	74	8
p0003357uqwx	222	159	236	51	9
p0070625chvl	89	62	106	46	8
p0063460x9gj	3	1	3	56	9
p0076693jfbn	9	9	10	48	2
p0023581jfre	0	0	1	42	8
p0001090bhsb	69	61	73	47	12
p0000335sw4v	331	281	376	56	6
p0004094gepd	1016	663	1083	46	9
p0002519cjg7	517	419	535	47	7
p0010095op5n	21	10	24	52	10
p0010556psmw	32	25	37	41	6
p0029507b2ur	20	14	73	65	12
p0020642paj5	4	4	5	68	11
p00219612pus	19	19	24	37	7
p0098702jl2m	67	54	75	59	8
p0099085kvfo	103	73	112	88	18
p0004484mg2f	84	52	87	52	9
p0003584piuy	2	1	2	55	9
p0086634o2na	13	7	13	63	13
p0011017t2np	4	3	9	44	6
p0002556mlbl	166	116	178	40	9
p0041934vyaf	19	15	21	83	15
p0075998srjm	16	15	17	135	21
p0056233lqp6	10	9	14	98	10
p0098410die4	221	179	260	53	7
p0095122yuiv	325	221	358	44	9
p0062523jyxa	1	0	2	74	14
p00973018ivc	44	29	45	46	9
p0005540vk7n	48	40	51	43	4
p0016400nefw	737	581	785	77	11
p0093403te5q	3	3	3	142	4
p0025200bsdm	250	155	273	59	9
p0086048exac	4	4	4	82	14
p0066799x4n7	0	5	8	32	2
p0059306ypxi	28	18	31	68	16
p0007276gj7n	18	7	21	90	11
p00329576jly	252	195	298	72	10
p0088521kylq	93	68	132	74	10
p0086139cqiq	20	20	20	33	6
p0007111vf8y	148	98	164	55	7
p0095031f4i6	25	16	27	33	7
p0049636wmqj	55	34	73	76	9
p00130132tlz	31	10	31	62	10
p00649863c2o	106	83	112	48	8
p0001568q9lr	348	205	447	99	15
p0006883hnau	11	9	11	65	11
